iter	Passed	Remaining
756	3009	966
757	3014	962
758	3018	958
759	3022	954
760	3026	950
761	3030	946
762	3034	942
763	3038	938
764	3042	934
765	3045	930
766	3049	926
767	3053	922
768	3057	918
769	3061	914
770	3065	910
771	3069	906
772	3073	902
773	3077	898
774	3082	894
775	3086	890
776	3090	886
777	3094	882
778	3098	878
779	3101	874
780	3105	870
781	3109	866
782	3113	862
783	3117	858
784	3121	854
785	3125	851
786	3129	847
787	3133	843
788	3137	839
789	3141	835
790	3146	831
791	3149	827
792	3153	823
793	3157	819
794	3162	815
795	3166	811
796	3170	807
797	3174	803
798	3178	799
799	3183	795
800	3187	791
801	3190	787
802	3194	783
803	3199	779
804	3203	775
805	3207	771
806	3211	768
807	3215	763
808	3218	759
809	3222	755
810	3226	751
811	3230	747
812	3234	744
813	3239	740
814	3243	736
815	3247	732
816	3250	728
817	3255	724
818	3259	720
819	3263	716
820	3267	712
821	3271	708
822	3274	704
823	3279	700
824	3283	696
825	3287	692
826	3291	688
827	3295	684
828	3299	680
829	3303	676
830	3308	672
831	3312	668
832	3316	664
833	3320	661
834	3324	656
835	3327	652
836	3332	648
837	3336	644
838	3340	641
839	3344	637
840	3348	632
841	3351	628
842	3355	624
843	3359	620
844	3363	616
845	3367	612
846	3370	608
847	3374	604
848	3379	600
849	3383	597
850	3387	593
851	3391	589
852	3395	585
853	3400	581
854	3404	577
855	3408	573
856	3411	569
857	3415	565
858	3419	561
859	3423	557
860	3427	553
861	3431	549
862	3436	545
863	3440	541
864	3444	537
865	3448	533
866	3452	529
867	3456	525
868	3460	521
869	3464	517
870	3468	513
871	3472	509
872	3476	505
873	3480	501
874	3484	497
875	3489	493
876	3493	490
877	3498	486
878	3501	481
879	3505	478
880	3509	473
881	3512	469
882	3516	465
883	3521	462
884	3524	458
885	3528	454
886	3532	450
887	3536	446
888	3540	442
889	3544	438
890	3549	434
891	3553	430
892	3556	426
893	3560	422
894	3564	418
895	3569	414
896	3573	410
897	3577	406
898	3581	402
899	3585	398
900	3590	394
901	3594	390
902	3598	386
903	3603	382
904	3606	378
905	3610	374
906	3614	370
907	3619	366
908	3623	362
909	3627	358
910	3631	354
911	3634	350
912	3639	346
913	3642	342
914	3646	338
915	3650	334
916	3654	330
917	3658	326
918	3662	322
919	3666	318
920	3670	314
921	3674	310
922	3678	306
923	3682	302
924	3686	298
925	3690	294
926	3694	290
927	3698	286
928	3702	282
929	3706	278
930	3710	274
931	3713	270
932	3717	266
933	3721	263
934	3726	259
935	3730	255
936	3733	251
937	3737	247
938	3741	243
939	3744	239
940	3748	235
941	3752	231
942	3756	227
943	3760	223
944	3764	219
945	3768	215
946	3771	211
947	3775	207
948	3779	203
949	3782	199
950	3787	195
951	3791	191
952	3795	187
953	3800	183
954	3803	179
955	3806	175
956	3810	171
957	3814	167
958	3818	163
959	3822	159
960	3826	155
961	3830	151
962	3834	147
963	3838	143
964	3842	139
965	3846	135
966	3849	131
967	3853	127
968	3858	123
969	3862	119
970	3866	115
971	3871	111
972	3875	107
973	3879	103
974	3883	99
975	3887	95
976	3891	91
977	3896	87
978	3900	83
979	3904	79
980	3908	75
981	3912	71
982	3916	67
983	3920	63
984	3925	59
985	3929	55
986	3932	51
987	3936	47
988	3940	43
989	3943	39
990	3947	35
991	3951	31
992	3955	27
993	3959	23
994	3963	19
995	3967	15
996	3971	11
997	3975	7
998	3979	3
999	3984	0
